county,kg_seized,period_label,period_date,time_idx,half,year,log_kg_seized,county_total,is_hotspot,lag_1,log_lag_1,lag_2,log_lag_2,lag_3,log_lag_3,roll_mean_2,roll_mean_3,roll_std_3,log_roll_mean_2,log_roll_mean_3,diff_1,log_diff_1,pct_change,trend_up,national_kg,county_share_pct,z_score
Kirinyanga,33.19,2021 H2,2021-09-30,1,2,2021,3.5319332036512097,479.266,0,71.4,4.282206299391671,,,,,52.295,52.295,27.018550109137987,3.9070697515214405,3.9070697515214405,-38.21000000000001,-0.7502730957404613,-53.515406162465,0,4781.42,0.6941,-0.2083786053192125
Kirinyanga,5.251,2022 H1,2022-03-31,2,1,2022,1.8327414509496753,479.266,0,33.19,3.5319332036512097,71.4,4.282206299391671,,,19.220499999999998,36.61366666666667,33.207132823135055,2.6823373273004423,3.215626984664185,-27.938999999999997,-1.6991917527015343,-84.17896956914733,0,3621.407,0.145,-0.4985767083239385
Kirinyanga,30.015,2022 H2,2022-09-30,3,2,2022,3.4344709584250808,479.266,0,5.251,1.8327414509496753,33.19,3.5319332036512097,71.4,4.282206299391671,17.633000000000003,22.81866666666667,15.296644741031717,2.633606204687378,2.933048537675322,24.764,1.6017295074754054,471.60540849362025,1,7249.725,0.414,-0.24135684280230082
Kirinyanga,303.63,2023 H1,2023-03-31,4,1,2023,5.719097925433975,479.266,0,30.015,3.4344709584250808,5.251,1.8327414509496753,33.19,3.5319332036512097,166.8225,112.96533333333333,165.58404289161845,4.576784441929528,3.662103444936244,273.615,2.2846269670088946,911.5942028985507,1,11866.28,2.5588,2.6006401489883184
Kirinyanga,6.09,2023 H2,2023-09-30,5,2,2023,1.958685340544036,479.266,0,303.63,5.719097925433975,30.015,3.4344709584250808,5.251,1.8327414509496753,154.85999999999999,113.245,165.3116377482239,3.8388916329890055,3.704084741467698,-297.54,-3.7604125848899392,-97.99426934097421,0,13714.12,0.0444,-0.4898621441512421
Kirinyanga,11.2,2024 H1,2024-03-31,6,1,2024,2.501435951739211,479.266,0,6.09,1.958685340544036,303.63,5.719097925433975,30.015,3.4344709584250808,8.645,106.97333333333334,170.32883324127283,2.2300606461416237,3.393073072572408,5.109999999999999,0.5427506111951748,83.9080459770115,1,13415.2,0.0835,-0.4367853587847597
Kirinyanga,6.0,2024 H2,2024-09-30,7,2,2024,1.9459101490553132,479.266,0,11.2,2.501435951739211,6.09,1.958685340544036,303.63,5.719097925433975,8.6,7.763333333333333,2.976580812497674,2.223673050397262,2.13534381377952,-5.199999999999999,-0.5555258026838976,-46.42857142857143,0,14737.7,0.0407,-0.49079696033186504
Kirinyanga,12.49,2025 H1,2025-03-31,8,1,2025,2.6019486702196644,479.266,0,6.0,1.9459101490553132,11.2,2.501435951739211,6.09,1.958685340544036,9.245000000000001,9.896666666666667,3.4356998316688427,2.2739294096374887,2.349764923671396,6.49,0.6560385211643511,108.16666666666666,1,12752.52,0.0979,-0.42338632686249705
Kisii,602.105,2021 H1,2021-03-31,0,1,2021,6.402091310921663,3831.99,0,,,,,,,602.105,602.105,0.0,6.402091310921663,6.402091310921663,,,,0,6932.09297,8.6858,0.3666030260969483
Kisii,17.62,2021 H2,2021-09-30,1,2,2021,2.924236271848921,3831.99,0,602.105,6.402091310921663,,,,,309.8625,309.8625,413.29330700181924,4.663163791385292,4.663163791385292,-584.485,-3.477855039072742,-97.07360011958048,0,4781.42,0.3685,-0.848595720795354
Kisii,7.835,2022 H1,2022-03-31,2,1,2022,2.17872110577166,3831.99,0,17.62,2.924236271848921,602.105,6.402091310921663,,,12.727500000000001,209.1866666666667,340.31242859809475,2.5514786888102905,3.8350162295140815,-9.785,-0.7455151660772614,-55.533484676503974,0,3621.407,0.2164,-0.8689396470523858
Kisii,25.42,2022 H2,2022-09-30,3,2,2022,3.2741212990941793,3831.99,0,7.835,2.17872110577166,17.62,2.924236271848921,602.105,6.402091310921663,16.6275,16.958333333333332,8.811152497450104,2.7264212024329195,2.79235955890492,17.585,1.0954001933225195,224.4416081684748,1,7249.725,0.3506,-0.8323787943973113
Kisii,13.56,2023 H1,2023-03-31,4,1,2023,2.67827804276854,3831.99,0,25.42,3.2741212990941793,7.835,2.17872110577166,17.62,2.924236271848921,19.490000000000002,15.604999999999999,8.969089976134027,2.9761996709313596,2.7103734825447936,-11.860000000000001,-0.5958432563256393,-46.65617623918175,0,11866.28,0.1143,-0.8570368388948479
Kisii,1463.23,2023 H2,2023-09-30,5,2,2023,7.28908478600688,3831.99,0,13.56,2.67827804276854,25.42,3.2741212990941793,7.835,2.17872110577166,738.395,500.7366666666667,833.5647709886337,4.98368141438771,4.4138280426232,1449.67,4.61080674323834,10690.781710914454,1,13714.12,10.6695,2.1569620959064966
Kisii,553.5,2024 H1,2024-03-31,6,1,2024,6.318066806790422,3831.99,0,1463.23,7.28908478600688,13.56,2.67827804276854,25.42,3.2741212990941793,1008.365,676.7633333333333,732.6535089886169,6.8035757963986505,5.428476545188613,-909.73,-0.9710179792164579,-62.17272745911442,0,13415.2,4.1259,0.26554870461273505
