county,kg_seized,period_label,period_date,time_idx,half,year,log_kg_seized,county_total,is_hotspot
Kakamega,1.15,2021 H2,2021-09-30,1,2,2021,0.7654678421395714,273.05,0
Kakamega,6.5,2022 H1,2022-03-31,2,1,2022,2.0149030205422647,273.05,0
Kakamega,34.23,2022 H2,2022-09-30,3,2,2022,3.561897992353146,273.05,0
Kakamega,6.2,2023 H1,2023-03-31,4,1,2023,1.9740810260220096,273.05,0
Kakamega,1.62,2023 H2,2023-09-30,5,2,2023,0.9631743177730056,273.05,0
Kakamega,182.0,2024 H1,2024-03-31,6,1,2024,5.209486152841421,273.05,0
Kakamega,3.3,2024 H2,2024-09-30,7,2,2024,1.4586150226995167,273.05,0
Kakamega,36.9,2025 H1,2025-03-31,8,1,2025,3.6349511120883804,273.05,0
Kapu (CPIU),0.92997,2021 H1,2021-03-31,0,1,2021,0.6575044587545336,441.65497,0
Kapu (CPIU),0.54,2021 H2,2021-09-30,1,2,2021,0.43178241642553783,441.65497,0
Kapu (CPIU),2.96,2022 H1,2022-03-31,2,1,2022,1.3762440252663892,441.65497,0
Kapu (CPIU),13.224999999999998,2022 H2,2022-09-30,3,2,2022,2.6550009800123946,441.65497,0
Kapu (CPIU),23.49,2023 H1,2023-03-31,4,1,2023,3.1982648709640764,441.65497,0
Kapu (CPIU),7.47,2023 H2,2023-09-30,5,2,2023,2.136530508663963,441.65497,0
Kapu (CPIU),4.9,2024 H1,2024-03-31,6,1,2024,1.7749523509116738,441.65497,0
Kapu (CPIU),8.2,2024 H2,2024-09-30,7,2,2024,2.2192034840549946,441.65497,0
Kapu (CPIU),379.94,2025 H1,2025-03-31,8,1,2025,5.942641882410413,441.65497,0
Kericho,0.84,2021 H1,2021-03-31,0,1,2021,0.6097655716208943,1256.915,0
Kericho,0.07,2021 H2,2021-09-30,1,2,2021,0.06765864847381481,1256.915,0
Kericho,25.335,2022 H1,2022-03-31,2,1,2022,3.270898852935353,1256.915,0
Kericho,50.6,2022 H2,2022-09-30,3,2,2022,3.9435216724875173,1256.915,0
Kericho,17.2,2023 H1,2023-03-31,4,1,2023,2.9014215940827497,1256.915,0
Kericho,533.25,2023 H2,2023-09-30,5,2,2023,6.280863894199257,1256.915,0
Kericho,10.3,2024 H1,2024-03-31,6,1,2024,2.424802725718295,1256.915,0
Kericho,76.0,2024 H2,2024-09-30,7,2,2024,4.343805421853684,1256.915,0
Kericho,543.32,2025 H1,2025-03-31,8,1,2025,6.299537309207497,1256.915,0
Kiambu,25.125,2021 H1,2021-03-31,0,1,2021,3.262892710284975,3915.925,0
Kiambu,523.54,2021 H2,2021-09-30,1,2,2021,6.26252168803619,3915.925,0
Kiambu,97.263,2022 H1,2022-03-31,2,1,2022,4.587647557518073,3915.925,0
Kiambu,122.367,2022 H2,2022-09-30,3,2,2022,4.815163652692791,3915.925,0
Kiambu,522.64,2023 H1,2023-03-31,4,1,2023,6.260804425311898,3915.925,0
Kiambu,981.44,2023 H2,2023-09-30,5,2,2023,6.890039273176357,3915.925,0
Kiambu,518.4,2024 H1,2024-03-31,6,1,2024,6.252674299228648,3915.925,0
Kiambu,493.3,2024 H2,2024-09-30,7,2,2024,6.203142620312914,3915.925,0
Kiambu,631.85,2025 H1,2025-03-31,8,1,2025,6.450233427238458,3915.925,0
Kilifi,36.87,2021 H1,2021-03-31,0,1,2021,3.634159241913703,4667.34,0
Kilifi,41.51,2021 H2,2021-09-30,1,2,2021,3.749739342370699,4667.34,0
Kilifi,16.522,2022 H1,2022-03-31,2,1,2022,2.863457234244172,4667.34,0
Kilifi,137.868,2022 H2,2022-09-30,3,2,2022,4.933523841648913,4667.34,0
Kilifi,1028.05,2023 H1,2023-03-31,4,1,2023,6.9363913255184695,4667.34,0
Kilifi,1710.38,2023 H2,2023-09-30,5,2,2023,7.445055341576999,4667.34,0
Kilifi,469.9,2024 H1,2024-03-31,6,1,2024,6.154645757249509,4667.34,0
Kilifi,688.0,2024 H2,2024-09-30,7,2,2024,6.535241271013659,4667.34,0
Kilifi,538.24,2025 H1,2025-03-31,8,1,2025,6.290160740822864,4667.34,0
Kirinyanga,71.4,2021 H1,2021-03-31,0,1,2021,4.282206299391671,479.26599999999996,0
Kirinyanga,33.19,2021 H2,2021-09-30,1,2,2021,3.5319332036512097,479.26599999999996,0
Kirinyanga,5.251,2022 H1,2022-03-31,2,1,2022,1.8327414509496753,479.26599999999996,0
Kirinyanga,30.015,2022 H2,2022-09-30,3,2,2022,3.4344709584250808,479.26599999999996,0
Kirinyanga,303.63,2023 H1,2023-03-31,4,1,2023,5.719097925433975,479.26599999999996,0
Kirinyanga,6.09,2023 H2,2023-09-30,5,2,2023,1.958685340544036,479.26599999999996,0
Kirinyanga,11.2,2024 H1,2024-03-31,6,1,2024,2.501435951739211,479.26599999999996,0
Kirinyanga,6.0,2024 H2,2024-09-30,7,2,2024,1.9459101490553132,479.26599999999996,0
Kirinyanga,12.49,2025 H1,2025-03-31,8,1,2025,2.6019486702196644,479.26599999999996,0
Kisii,602.105,2021 H1,2021-03-31,0,1,2021,6.402091310921663,3831.99,0
Kisii,17.62,2021 H2,2021-09-30,1,2,2021,2.924236271848921,3831.99,0
Kisii,7.835,2022 H1,2022-03-31,2,1,2022,2.17872110577166,3831.99,0
Kisii,25.42,2022 H2,2022-09-30,3,2,2022,3.2741212990941793,3831.99,0
Kisii,13.56,2023 H1,2023-03-31,4,1,2023,2.67827804276854,3831.99,0
Kisii,1463.23,2023 H2,2023-09-30,5,2,2023,7.28908478600688,3831.99,0
Kisii,553.5,2024 H1,2024-03-31,6,1,2024,6.318066806790422,3831.99,0
Kisii,649.8,2024 H2,2024-09-30,7,2,2024,6.478202375344883,3831.99,0
Kisii,498.92,2025 H1,2025-03-31,8,1,2025,6.214448085620826,3831.99,0
Kisumu,692.36,2021 H1,2021-03-31,0,1,2021,6.541549344826089,3119.0899999999997,0
Kisumu,12.05,2021 H2,2021-09-30,1,2,2021,2.5687881337687024,3119.0899999999997,0
Kisumu,2.2,2022 H1,2022-03-31,2,1,2022,1.1631508098056809,3119.0899999999997,0
Kisumu,73.05,2022 H2,2022-09-30,3,2,2022,4.304740540713808,3119.0899999999997,0
Kisumu,1143.81,2023 H1,2023-03-31,4,1,2023,7.042993963354334,3119.0899999999997,0
Kisumu,2.02,2023 H2,2023-09-30,5,2,2023,1.1052568313867783,3119.0899999999997,0
Kisumu,99.1,2024 H1,2024-03-31,6,1,2024,4.6061696863211745,3119.0899999999997,0
Kisumu,678.2,2024 H2,2024-09-30,7,2,2024,6.520915634997138,3119.0899999999997,0
Kisumu,416.3,2025 H1,2025-03-31,8,1,2025,6.033805387597507,3119.0899999999997,0
Kitui,73.4,2021 H1,2021-03-31,0,1,2021,4.309455941839047,544.844,0
Kitui,10.82,2021 H2,2021-09-30,1,2,2021,2.469793011977952,544.844,0
Kitui,27.107,2022 H1,2022-03-31,2,1,2022,3.3360186556371607,544.844,0
Kitui,76.377,2022 H2,2022-09-30,3,2,2022,4.348689578812867,544.844,0
Kitui,110.74,2023 H1,2023-03-31,4,1,2023,4.716174744031003,544.844,0
Kitui,0.31,2023 H2,2023-09-30,5,2,2023,0.27002713721306015,544.844,0
Kitui,18.9,2024 H1,2024-03-31,6,1,2024,2.990719731730447,544.844,0
Kitui,115.4,2024 H2,2024-09-30,7,2,2024,4.757032535297338,544.844,0
Kitui,111.79,2025 H1,2025-03-31,8,1,2025,4.725527682651825,544.844,0
Kwale,48.0,2021 H1,2021-03-31,0,1,2021,3.8918202981106265,1773.92,0
Kwale,1.05,2021 H2,2021-09-30,1,2,2021,0.7178397931503169,1773.92,0
Kwale,0.8,2022 H1,2022-03-31,2,1,2022,0.5877866649021191,1773.92,0
Kwale,12.5,2022 H2,2022-09-30,3,2,2022,2.6026896854443837,1773.92,0
Kwale,2.35,2023 H1,2023-03-31,4,1,2023,1.208960345836975,1773.92,0
Kwale,0.51,2023 H2,2023-09-30,5,2,2023,0.412109650826833,1773.92,0
Kwale,159.0,2024 H1,2024-03-31,6,1,2024,5.075173815233827,1773.92,0
Kwale,710.2,2024 H2,2024-09-30,7,2,2024,6.566953684199695,1773.92,0
Kwale,839.51,2025 H1,2025-03-31,8,1,2025,6.734008850457846,1773.92,0
Laikipia,5.0,2021 H1,2021-03-31,0,1,2021,1.791759469228055,1694.375,0
Laikipia,27.0,2021 H2,2021-09-30,1,2,2021,3.332204510175204,1694.375,0
Laikipia,6.5,2022 H1,2022-03-31,2,1,2022,2.0149030205422647,1694.375,0
Laikipia,42.675,2022 H2,2022-09-30,3,2,2022,3.7767758560201203,1694.375,0
Laikipia,1.7,2023 H1,2023-03-31,4,1,2023,0.9932517730102834,1694.375,0
Laikipia,0.0,2023 H2,2023-09-30,5,2,2023,0.0,1694.375,0
Laikipia,1590.9,2024 H1,2024-03-31,6,1,2024,7.37268355036109,1694.375,0
Laikipia,13.7,2024 H2,2024-09-30,7,2,2024,2.6878474937846906,1694.375,0
Laikipia,6.9,2025 H1,2025-03-31,8,1,2025,2.066862759472976,1694.375,0
Lamu,0.01,2021 H1,2021-03-31,0,1,2021,0.009950330853168083,34.37,0
Lamu,1.01,2021 H2,2021-09-30,1,2,2021,0.6981347220709844,34.37,0
Lamu,10.0,2022 H1,2022-03-31,2,1,2022,2.3978952727983707,34.37,0
Lamu,1.05,2022 H2,2022-09-30,3,2,2022,0.7178397931503169,34.37,0
Lamu,10.02,2023 H1,2023-03-31,4,1,2023,2.3997118037247684,34.37,0
Lamu,3.78,2023 H2,2023-09-30,5,2,2023,1.5644405465033646,34.37,0
